feature_0,feature_1,feature_2,target
28,36,43,0
9,7,11,0
48,27,20,1
35,8,20,0
9,2,41,0
23,34,20,0
14,13,42,2
7,27,26,0
43,46,36,1
11,48,42,2
46,11,26,0
4,28,49,3
28,31,12,0
38,10,15,3
17,33,5,3
20,48,5,2
49,5,27,4
17,27,38,0
49,0,34,1
38,7,27,0
48,37,42,0
3,18,28,4
28,2,19,1
3,7,47,0
30,12,47,4
15,46,37,0
13,38,17,0
5,18,38,2
40,5,31,0
11,31,13,0
22,4,26,2
38,0,46,0
34,12,47,4
24,19,7,0
12,37,18,0
22,25,3,0
24,15,21,0
36,1,40,1
4,31,14,0
16,27,20,0
42,8,17,0
36,21,24,1
30,31,25,0
13,10,10,4
10,12,8,4
2,2,8,2
45,29,20,1
25,34,20,0
30,48,3,1
30,11,14,0
46,39,31,0
47,3,35,2
48,6,33,0
0,9,34,0
24,20,43,0
12,23,3,0
2,46,37,1
12,46,40,3
4,48,26,2
46,49,44,3
35,37,28,0
25,14,1,2
22,40,47,0
47,3,16,2
1,17,31,1
28,9,32,0
41,18,1,2
37,30,21,0
22,28,40,2
16,16,49,0
35,21,21,0
3,28,14,1
38,12,24,1
39,42,44,3
10,35,26,2
22,32,32,0
32,3,13,0
24,35,24,1
6,5,1,3
43,43,24,5
10,28,42,7
35,17,5,1
37,1,24,2
15,10,1,3
27,14,29,0
22,20,41,0
49,0,2,5
16,2,26,2
33,23,29,0
4,24,4,1
33,4,32,2
19,10,32,0
42,3,19,1
48,32,37,0
43,11,29,1
22,13,17,1
19,31,49,0
40,12,15,4
19,36,8,0
6,36,41,0
0,11,21,0
40,3,15,1
29,47,41,1
32,20,29,0
36,6,36,1
33,9,19,0
17,9,30,0
0,8,37,0
31,19,6,0
9,41,34,0
38,38,32,0
4,5,36,4
41,22,2,0
30,17,28,1
41,0,32,0
8,36,8,0
27,13,0,1
38,9,40,0
33,28,22,1
30,12,14,3
23,28,0,1
46,4,36,3
2,17,0,3
9,11,42,0
40,23,24,0
24,18,0,1
35,5,44,4
18,19,41,0
15,37,21,0
16,43,4,2
15,14,19,0
29,46,2,1
21,44,20,0
1,47,19,0
16,10,5,2
32,47,24,0
2,48,12,2
36,42,45,4
9,48,36,1
33,16,26,0
13,45,47,3
26,11,36,0
5,12,14,4
23,25,15,0
20,28,7,0
1,48,13,3
21,25,22,0
12,2,43,2
23,19,6,0
30,8,9,0
36,10,8,1
20,34,31,0
34,39,9,2
23,39,44,3
28,32,0,0
8,14,41,0
20,15,18,2
42,33,2,2
11,27,44,1
33,47,45,3
26,19,1,2
19,23,37,0
6,34,33,0
42,47,1,3
28,29,35,1
5,31,2,0
11,14,43,1
10,38,44,0
23,3,4,0
5,2,0,4
30,9,23,0
10,33,2,1
40,14,0,1
31,7,45,0
45,49,46,3
10,13,40,0
0,19,28,0
12,47,10,6
46,28,48,4
16,25,28,0
12,39,49,5
21,27,7,0
11,39,48,3
38,1,0,2
18,37,32,0
26,28,33,3
20,39,47,2
37,2,37,3
16,12,31,1
6,14,48,2
10,44,16,0
45,5,17,2
2,8,24,0
47,35,7,1
37,27,46,0
18,17,28,1
14,19,45,0
13,33,43,1
35,31,19,0
29,10,1,2
7,22,30,0
17,24,17,1
18,37,48,0
0,6,23,0
13,11,33,0
17,14,13,3
36,21,31,0
35,23,37,0
0,37,30,0
8,21,29,0
14,7,49,2
10,24,24,0
42,15,3,3
30,27,25,0
18,42,45,5
9,39,44,3
16,3,32,0
34,29,30,2
37,25,15,0
32,45,8,1
28,17,10,1
40,42,17,2
0,38,1,0
4,44,20,0
20,43,22,3
44,21,6,0
31,21,40,0
35,29,19,2
41,32,10,0
31,12,22,1
31,24,1,1
17,33,20,0
22,25,16,0
43,23,49,1
10,22,8,0
11,44,17,0
21,47,45,0
21,47,9,0
10,41,23,0
42,37,39,0
10,7,15,0
13,4,29,2
32,17,34,0
47,45,19,1
9,8,23,0
6,47,31,0
20,48,32,0
42,1,35,4
4,48,13,3
27,6,41,0
17,27,34,0
20,23,49,0
45,37,15,0
21,4,10,2
10,49,33,3
25,4,38,2
31,2,6,1
38,16,31,0
25,22,48,0
13,17,27,0
14,17,1,2
49,46,23,2
31,45,39,2
43,16,36,0
36,38,46,0
17,13,2,3
49,19,2,1
2,30,13,2
42,48,6,1
16,23,4,0
10,17,14,0
18,19,10,0
27,36,5,2
16,20,37,0
39,38,10,1
5,33,21,2
28,31,17,0
24,49,0,4
9,19,34,0
20,22,20,0
24,14,20,0
3,16,16,1
43,48,30,2
17,37,34,0
49,44,23,1
14,29,8,2
8,31,32,0
44,5,37,1
1,4,12,5
31,18,13,0
19,15,37,0
6,12,35,3
40,42,41,2
45,11,25,0
28,46,26,3
33,43,18,2
40,31,13,0
45,30,31,1
14,6,39,2
38,34,14,0
11,34,27,1
43,44,16,0
4,5,43,2
2,38,5,0
46,43,8,3
21,6,25,0
44,13,26,2
49,23,7,0
25,48,27,1
42,24,21,0
14,23,0,1
13,37,22,0
41,27,28,2
4,7,47,0
21,49,10,0
22,9,30,0
9,35,29,0
24,27,44,0
38,18,27,3
7,2,8,1
12,46,33,3
3,14,27,0
43,11,34,0
49,41,11,0
1,21,8,0
23,5,20,1
42,33,20,1
47,27,8,2
7,16,47,0
21,42,22,0
43,44,34,0
15,27,24,0
24,8,30,0
25,7,3,0
31,4,20,1
13,36,31,0
33,39,21,4
11,35,21,0
42,3,37,0
49,34,49,1
17,1,2,3
36,24,18,0
2,7,25,0
14,5,11,2
47,22,5,0
0,34,47,0
37,7,42,0
15,20,4,1
35,19,38,0
8,39,31,0
22,40,3,0
40,1,34,2
17,48,8,0
2,4,4,4
46,13,9,1
18,29,13,0
17,47,24,0
27,30,0,1
4,48,33,3
37,10,25,0
0,45,45,3
49,21,11,0
14,43,33,2
23,24,20,0
43,12,1,4
7,23,4,0
24,32,41,0
11,4,5,4
5,12,2,3
16,16,9,0
43,2,27,0
8,16,11,0
47,40,19,0
23,13,16,0
47,11,44,0
37,15,32,0
35,33,0,2
13,31,28,0
4,7,1,0
36,25,46,0
30,8,7,0
46,10,24,1
7,11,5,0
43,12,17,3
23,1,39,4
0,16,18,0
36,22,21,0
8,36,18,0
17,27,41,0
27,9,20,0
22,26,34,2
37,27,26,0
33,16,10,0
20,14,39,1
31,37,43,2
2,25,47,0
21,13,39,4
1,44,9,0
49,36,31,0
42,30,26,3
44,0,4,0
23,48,39,2
22,9,25,0
8,38,9,0
43,17,40,1
22,13,32,0
38,46,40,2
28,28,26,4
15,34,16,0
4,46,12,5
46,0,4,1
15,14,7,2
14,30,33,2
7,27,17,0
15,15,34,4
19,46,49,1
5,23,33,1
23,20,31,0
43,22,24,2
12,43,31,4
36,16,43,1
15,28,36,2
28,32,42,0
32,49,3,0
25,15,28,2
47,23,36,0
31,5,45,2
46,45,14,3
10,17,23,0
23,23,21,0
26,21,17,0
28,39,0,3
24,43,29,6
3,44,30,0
36,8,2,0
41,30,3,2
23,0,27,0
4,8,42,2
25,24,24,1
26,24,17,2
47,36,42,1
35,41,12,0
45,6,14,1
36,21,23,0
28,25,19,0
48,46,0,1
43,11,22,0
44,5,42,4
23,49,2,5
48,9,29,0
40,23,10,0
40,35,30,2
38,25,25,0
48,13,15,3
40,35,16,0
47,22,46,0
1,23,9,0
22,42,49,2
13,9,35,0
41,36,9,0
11,17,49,0
13,3,25,0
17,6,41,0
14,30,30,2
29,1,46,3
18,47,30,3
39,15,49,5
7,25,8,0
33,31,32,0
27,49,4,3
3,29,12,3
24,6,15,0
45,42,48,4
22,20,14,0
41,46,14,1
35,41,4,0
36,45,41,1
35,44,23,0
25,11,35,0
33,35,43,1
12,37,21,0
24,17,35,0
24,1,3,1
12,26,44,2
20,33,43,0
43,0,49,3
31,42,12,3
24,44,19,0
11,23,38,0
38,22,1,0
24,24,20,0
35,6,47,0
25,11,48,0
43,6,21,0
30,15,4,4
2,12,11,2
20,27,18,2
10,35,46,4
37,18,44,0
32,35,26,1
0,27,25,0
24,7,15,0
35,22,42,0
45,20,21,0
37,34,42,0
21,47,44,0
22,8,14,0
38,23,17,0
6,47,16,0
25,29,37,3
29,33,11,0
38,17,24,0
33,46,33,3
32,22,24,0
48,23,48,0
6,6,3,0
22,1,34,1
32,6,35,0
9,24,35,0
9,1,48,2
24,14,47,0
8,7,14,0
7,34,37,0
10,14,14,1
4,24,2,1
22,32,17,0
19,1,26,4
40,5,36,2
41,41,1,0
8,7,5,0
0,26,17,4
6,4,15,3
15,41,26,0
24,37,14,1
3,30,43,3
19,34,49,0
0,35,28,2
2,14,17,3
41,8,49,0
38,28,28,5
18,9,15,0
41,15,23,0
44,10,44,1
8,8,22,0
11,1,48,2
37,2,14,4
20,33,16,0
47,40,2,0
14,14,43,3
41,19,7,0
43,35,30,2
38,39,10,2
18,19,28,0
18,25,9,0
21,9,16,0
22,34,8,0
3,4,14,1
34,20,18,0
25,28,22,1
45,10,39,3
19,34,40,0
45,9,8,0
14,47,17,0
5,33,36,4
34,44,25,0
36,2,13,5
41,35,19,0
12,9,48,0
10,41,48,0
9,4,33,3
17,8,1,1
18,16,38,0
41,5,29,1
21,25,15,0
12,14,8,1
30,12,31,2
25,15,40,0
43,48,9,0
10,28,26,4
22,12,44,1
47,23,10,0
42,44,46,1
24,44,4,0
7,25,21,0
0,24,44,0
